,Address - From Geocoder,Company_Name,File_List,Geocode Score,Header,Header_Clean,Latitude,Longitude,Match Score,Query,Text
16,HARDCODE,Peat Marwick Mitchell & Co,"['cd1978/entry/1978_Page_70 (2)_3.png', 'cd1978/entry/1978_Page_70 (2)_4.png']",100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.824936,-71.409435,100.0,40 WESTMINSTER ST PROVIDENCE,Peat Marwick Mitchell & Co 40 Westminster St Rm 1800
17,HARDCODE,Price Waterhouse & Co,"['cd1978/entry/1978_Page_70 (2)_6.png', 'cd1978/entry/1978_Page_70 (2)_7.png']",100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.824936,-71.409435,100.0,40 WESTMINSTER ST PROVIDENCE,Price Waterhouse & Co 40 Westminster St (Suite 1200) (02903) Tel 421-0501
18,"472 Smith St, Providence, RI",Selinker Solomon E,['cd1978/entry/1978_Page_70 (2)_8.png'],100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.8356187343416,-71.42675893939324,100.0,472 SMITH ST PROVIDENCE,Selinker Solomon E 472 Smith St
19,HARDCODE,Shea Quinlan J,['cd1978/entry/1978_Page_70 (2)_9.png'],100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Shea Quinlan J 15 Westminster St Rm 928
20,HARDCODE,Sholes Andrew G,['cd1978/entry/1978_Page_70 (2)_10.png'],100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.824936,-71.409435,100.0,40 WESTMINSTER ST PROVIDENCE,Sholes Andrew G 40 Westminster St Rm 1005
21,HARDCODE,Silverman Jones & Co,"['cd1978/entry/1978_Page_70 (2)_11.png', 'cd1978/entry/1978_Page_70 (2)_12.png']",100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.825363,-71.40946,100.0,15 WESTMINSTER ST PROVIDENCE,Silverman Jones & Co 15 Westminster St Rm
22,"60 Broadway, Providence, RI",Villatico Guy,['cd1978/entry/1978_Page_70 (2)_13.png'],100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.82234714314119,-71.41862521794076,83.5,60 BROADWAY PROVIDENCE,Villatico Guy 60 Broadway Suite G
23,"111 Westminster St, Providence, RI",Ward Fisher & Co,"['cd1978/entry/1978_Page_70 (2)_14.png', 'cd1978/entry/1978_Page_70 (2)_15.png']",100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Ward Fisher & Co 111 Westminster St Rm 510
24,"111 Westminster St, Providence, RI",Young Arthur & Company,"['cd1978/entry/1978_Page_70 (2)_16.png', 'cd1978/entry/1978_Page_70 (2)_17.png']",100.0,ACCOUNT CONTD,ACCOUNT CONTD,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,"Young Arthur & Company 111 Westminster St (02903), Tel 274-1800"
25,"76 Westminster St, Providence, RI",Allen David,['cd1978/entry/1978_Page_70 (2)_19.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.82463663516011,-71.41012717666993,100.0,76 WESTMINSTER ST PROVIDENCE,Allen David 76 Westminster St Rm 1105
26,"34 Pontiac Ave, Providence, RI",Ambrifi & Assoc,['cd1978/entry/1978_Page_70 (2)_20.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.78757198711035,-71.43142441242523,100.0,34 PONTIAC AVE PROVIDENCE,Ambrifi & Assoc 34 Pontiac Av Rm 1
27,"547 Mt Pleasant Ave, Providence, RI",Ayers Eari,['cd1978/entry/1978_Page_70 (2)_21.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.84117719631069,-71.45241608704674,95.5,547 MOUNT PLEASANT AVE PROVIDENCE,Ayers Eari 547 Mt Pleasant Av
28,"270 Cole Ave, Providence, RI",Bergman Paul,['cd1978/entry/1978_Page_70 (2)_23.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.841684199828585,-71.38918045267236,100.0,270 COLE AVE PROVIDENCE,Bergman Paul 270 Cole Av
29,"1051 Broad St, Providence, RI",Blake Harvey Accounting,['cd1978/entry/1978_Page_70 (2)_24.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.79622860326582,-71.41230395541548,100.0,1051 BROAD ST PROVIDENCE,Blake Harvey Accounting 1051 Broad St
30,"36 Whitmarsh St, Providence, RI",Brown Lawrence E,['cd1978/entry/1978_Page_70 (2)_26.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.80598652459195,-71.42142238072803,100.0,36 WHITMARSH ST PROVIDENCE,Brown Lawrence E 36 Whitmarsh St
31,"24 Farmington Ave, Providence, RI",Calabrese Joseph,['cd1978/entry/1978_Page_70 (2)_27.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.80670991385603,-71.4630750796531,100.0,24 FARMINGTON AVE PROVIDENCE,Calabrese Joseph 24% Farmington Av
32,"135 Whitford Ave, Providence, RI",Cempana Falco B,['cd1978/entry/1978_Page_70 (2)_28.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.83903579197349,-71.44398913074333,100.0,135 WHITFORD AVE PROVIDENCE,Cempana Falco B 135 Whitford Av
33,"245 Waterman St, Providence, RI",Ched Limited,['cd1978/entry/1978_Page_70 (2)_29.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.82831475210334,-71.38702799942423,100.0,245 WATERMAN ST PROVIDENCE,Ched Limited 245 Waterman St Rm 400
34,"207 Union Ave, Providence, RI",Ciolfi Alex & Co,['cd1978/entry/1978_Page_70 (2)_30.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.807972616241145,-71.44355687545004,100.0,207 UNION AVE PROVIDENCE,Ciolfi Alex & Co 207 Union Av
35,"111 Westminster St, Providence, RI",Clegg Geo B Public Acct,"['cd1978/entry/1978_Page_70 (2)_31.png', 'cd1978/entry/1978_Page_70 (2)_32.png']",100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Clegg Geo B Public Acct 111 Westminster St Rm 617
36,"35 Klondike St, Providence, RI",Clements Roy F,['cd1978/entry/1978_Page_70 (2)_33.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.836228287236096,-71.47038595542847,100.0,35 KLONDIKE ST PROVIDENCE,Clements Roy F 35 Klondike St
37,"116 Wayland Ave, Providence, RI",Cofman Morris & Associates,['cd1978/entry/1978_Page_70 (2)_34.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.82681511893656,-71.38861800983953,100.0,116 WAYLAND AVE PROVIDENCE,Cofman Morris & Associates 116 Wayland Av
38,"111 Westminster St, Providence, RI",Corrente Frank E,['cd1978/entry/1978_Page_70 (2)_35.png'],100.0,ACCOUNTANTS—PUBLIC,ACCOUNTANTS-PUBLIC,41.82434144135414,-71.41073981740766,100.0,111 WESTMINSTER ST PROVIDENCE,Corrente Frank E 111 Westminster St Rm 523
